Site,date,mean_daily
SWQM-16397,2020-06-06,1.6586972394119623
SWQM-16397,2020-06-07,1.637069146227351
SWQM-16397,2020-06-08,1.5816664441041621
SWQM-16397,2020-06-09,1.5418393775257186
SWQM-16397,2020-06-10,1.5125491708185566
SWQM-16397,2020-06-11,1.4865752940433778
SWQM-16397,2020-06-12,1.4672940456959989
SWQM-16397,2020-06-13,1.45165350669605
SWQM-16397,2020-06-14,1.438530401546446
SWQM-16397,2020-06-15,1.4266189978138932
SWQM-16397,2020-06-16,1.4161656343211102
SWQM-16397,2020-06-17,1.4020238151704147
SWQM-16397,2020-06-18,1.3904073635894871
SWQM-16397,2020-06-19,1.3794173263342766
SWQM-16397,2020-06-20,1.452255996897611
SWQM-16397,2020-06-21,1.4997761400814424
SWQM-16397,2020-06-22,1.514819530724245
SWQM-16397,2020-06-23,1.507387182585214
SWQM-16397,2020-06-24,2.0083473609524187
SWQM-16397,2020-06-25,1.931680189469937
SWQM-16397,2020-06-26,1.6976927333996976
SWQM-16397,2020-06-27,1.6363341630036137
SWQM-16397,2020-06-28,1.5825699095710957
SWQM-16397,2020-06-29,1.557449554276241
SWQM-16397,2020-06-30,1.538742781011732
SWQM-16397,2020-07-01,1.5222386907651422
SWQM-16397,2020-07-02,1.504360223014796
SWQM-16397,2020-07-03,1.4858712472618132
SWQM-16397,2020-07-04,1.464536336342388
SWQM-16397,2020-07-05,1.4488606783028135
SWQM-16397,2020-07-06,1.430400413273967
SWQM-16397,2020-07-07,1.4159194102273887
SWQM-16397,2020-07-08,1.4051027939825302
SWQM-16397,2020-07-09,1.3916226939821086
SWQM-16397,2020-07-10,1.3752741358939469
SWQM-16397,2020-07-11,1.3598033969572263
SWQM-16397,2020-07-12,1.3433023630350316
SWQM-16397,2020-07-13,1.3282443959354422
SWQM-16397,2020-07-14,1.305609687194957
SWQM-16397,2020-07-15,1.2764569522969749
SWQM-16397,2020-07-16,1.2549048520217354
SWQM-16397,2020-07-17,1.2293141514963088
SWQM-16397,2020-07-18,1.2050333370032298
SWQM-16397,2020-07-19,1.1836407130473892
SWQM-16397,2020-07-20,1.1624467472508877
SWQM-16397,2020-07-21,1.143414473634346
SWQM-16397,2020-07-22,1.266332877883239
SWQM-16397,2020-07-23,1.4005514403437633
SWQM-16397,2020-07-24,1.3815220310904863
SWQM-16397,2020-07-25,1.3744051266544337
SWQM-16397,2020-07-26,1.6789070439635545
SWQM-16397,2020-07-27,2.6804952298241433
SWQM-16397,2020-07-28,1.7241456337423229
SWQM-16397,2020-07-29,1.6709525525899684
SWQM-16397,2020-07-30,1.5811395401202153
SWQM-16397,2020-07-31,NA
SWQM-16397,2020-08-01,NA
SWQM-16397,2020-08-02,NA
SWQM-16397,2020-08-03,NA
SWQM-16397,2020-08-04,NA
SWQM-16397,2020-08-05,NA
SWQM-16397,2020-08-06,1.580558538091493
SWQM-16397,2020-08-07,1.5529981157362116
SWQM-16397,2020-08-08,1.5263685372479692
SWQM-16397,2020-08-09,1.500654933773841
SWQM-16397,2020-08-10,1.4727729953797912
SWQM-16397,2020-08-11,1.4467039544507911
SWQM-16397,2020-08-12,1.423451977001023
SWQM-16397,2020-08-13,1.400573553851717
SWQM-16397,2020-08-14,1.375209608943771
SWQM-16397,2020-08-15,1.3455241543447494
SWQM-16397,2020-08-16,1.303720693840463
SWQM-16397,2020-08-17,1.2580963086329546
SWQM-16397,2020-08-18,1.2222278270098965
SWQM-16397,2020-08-19,1.1861525349744872
SWQM-16397,2020-08-20,1.1564470035792374
SWQM-16397,2020-08-21,1.14431179353373
SWQM-16397,2020-08-22,1.1409980004141378
SWQM-16397,2020-08-23,1.1456194583027037
SWQM-16397,2020-08-24,1.1550389829750276
SWQM-16397,2020-08-25,1.1575754244015184
SWQM-16397,2020-08-26,1.154870072250309
SWQM-16397,2020-08-27,1.1565448950306993
SWQM-16397,2020-08-28,1.1573470780785393
SWQM-16397,2020-08-29,1.1569797925556689
SWQM-16397,2020-08-30,1.157750628710242
SWQM-16397,2020-08-31,1.160556990696095
SWQM-16397,2020-09-01,1.1614926968183537
SWQM-16397,2020-09-02,1.1596017959076568
SWQM-16397,2020-09-03,1.1584261890711502
SWQM-16397,2020-09-04,1.2293227845187233
SWQM-16397,2020-09-05,1.9202153271152989
SWQM-16397,2020-09-06,1.8579979971982739
SWQM-16397,2020-09-07,1.7005181385523396
SWQM-16397,2020-09-08,1.5907325431351051
SWQM-16397,2020-09-09,1.5671970803276087
SWQM-16397,2020-09-10,3.5163995403193655
SWQM-16397,2020-09-11,1.9713150921848237
SWQM-16397,2020-09-12,1.695925225576997
SWQM-16397,2020-09-13,1.598505918077506
SWQM-16397,2020-09-14,1.5600030488125693
SWQM-16397,2020-09-15,1.539059147013632
SWQM-16397,2020-09-16,1.5139939626228505
SWQM-16397,2020-09-17,1.6352474727014574
SWQM-16397,2020-09-18,3.005805798663099
SWQM-16397,2020-09-19,1.782945509818719
SWQM-16397,2020-09-20,1.631601676064182
SWQM-16397,2020-09-21,1.5867791842497327
SWQM-16397,2020-09-22,1.7294160777802012
SWQM-16397,2020-09-23,2.7620858211974864
SWQM-16397,2020-09-24,2.0187605636464987
SWQM-16397,2020-09-25,1.7485610735434753
SWQM-16397,2020-09-26,1.6312610459547625
SWQM-16397,2020-09-27,1.5781166498606969
